NEEM - LARVAS III ESTADIO;;;;NEEM - LARVAS IV ESTADIO;;;;;;ACHIOTE - LARVAS III ESTADIO;;;;ACHIOTE - LARVAS IV ESTADIO;;;;;;;
DIAS;CONCENTRACIONES;MORTALIDAD;;DIAS;CONCENTRACIONES;MORTALIDAD;;;;DIAS;CONCENTRACIONES;MORTALIDAD;;DIAS;CONCENTRACIONES;MORTALIDAD;;;;;
3;0;0;;3;0;0;;;;3;0;0;;3;0;0;;;;;
3;0;0;;3;0;0;;;;3;0;0;;3;0;0;;;;;
3;0;0;;3;0;0;;;;3;0;0;;3;0;0;;;;;
3;50;10;;3;50;0;;;;3;50;0;;3;50;10;;;;;
3;50;5;;3;50;0;;;;3;50;10;;3;50;15;;;;;
3;50;10;;3;50;5;;;;3;50;10;;3;50;10;;;;;
3;100;20;;3;100;5;;;;3;100;10;;3;100;0;;;;;
3;100;15;;3;100;10;;;;3;100;0;;3;100;15;;;;;
3;100;20;;3;100;0;;;;3;100;15;;3;100;10;;;;;
3;200;10;;3;200;5;;;;3;200;20;;3;200;10;;;;;
3;200;15;;3;200;10;;;;3;200;10;;3;200;10;;;;;
3;200;15;;3;200;10;;;;3;200;0;;3;200;10;;;;;
3;400;5;;3;400;5;;;;3;400;15;;3;400;10;;;;;
3;400;20;;3;400;15;;;;3;400;5;;3;400;10;;;;;
3;400;30;;3;400;15;;;;3;400;5;;3;400;10;;;;;
6;0;0;;6;0;0;;;;6;0;0;;6;0;0;;;;;
6;0;0;;6;0;0;;;;6;0;0;;6;0;0;;;;;
6;0;0;;6;0;0;;;;6;0;0;;6;0;0;;;;;
6;50;25;;6;50;5;;;;6;50;20;;6;50;50;;;;;
6;50;10;;6;50;10;;;;6;50;40;;6;50;45;;;;;
6;50;25;;6;50;10;;;;6;50;35;;6;50;40;;;;;
6;100;45;;6;100;20;;;;6;100;50;;6;100;30;;;;;
6;100;45;;6;100;20;;;;6;100;45;;6;100;50;;;;;
6;100;40;;6;100;20;;;;6;100;70;;6;100;45;;;;;
6;200;30;;6;200;20;;;;6;200;65;;6;200;50;;;;;
6;200;45;;6;200;25;;;;6;200;75;;6;200;65;;;;;
6;200;35;;6;200;25;;;;6;200;65;;6;200;65;;;;;
6;400;40;;6;400;25;;;;6;400;80;;6;400;35;;;;;
6;400;65;;6;400;55;;;;6;400;80;;6;400;70;;;;;
6;400;70;;6;400;35;;;;6;400;75;;6;400;75;;;;;
9;0;0;;9;0;0;;;;9;0;0;;9;0;0;;;;;
9;0;0;;9;0;0;;;;9;0;0;;9;0;0;;;;;
9;0;0;;9;0;0;;;;9;0;0;;9;0;0;;;;;
9;50;45;;9;50;15;;;;9;50;70;;9;50;75;;;;;
9;50;25;;9;50;20;;;;9;50;80;;9;50;80;;;;;
9;50;35;;9;50;20;;;;9;50;65;;9;50;65;;;;;
9;100;55;;9;100;40;;;;9;100;90;;9;100;55;;;;;
9;100;55;;9;100;35;;;;9;100;75;;9;100;65;;;;;
9;100;65;;9;100;30;;;;9;100;80;;9;100;65;;;;;
9;200;60;;9;200;35;;;;9;200;95;;9;200;80;;;;;
9;200;65;;9;200;40;;;;9;200;85;;9;200;80;;;;;
9;200;60;;9;200;50;;;;9;200;100;;9;200;85;;;;;
9;400;75;;9;400;70;;;;9;400;100;;9;400;70;;;;;
9;400;85;;9;400;75;;;;9;400;100;;9;400;85;;;;;
9;400;90;;9;400;65;;;;9;400;100;;9;400;90;;;;;
12;0;0;;12;0;0;;;;12;0;0;;12;0;0;;;;;
12;0;0;;12;0;0;;;;12;0;0;;12;0;0;;;;;
12;0;0;;12;0;0;;;;12;0;0;;12;0;0;;;;;
12;50;65;;12;50;45;;;;12;50;85;;12;50;75;;;;;
12;50;55;;12;50;20;;;;12;50;85;;12;50;85;;;;;
12;50;65;;12;50;20;;;;12;50;75;;12;50;70;;;;;
12;100;70;;12;100;50;;;;12;100;95;;12;100;75;;;;;
12;100;75;;12;100;45;;;;12;100;85;;12;100;80;;;;;
12;100;75;;12;100;45;;;;12;100;90;;12;100;75;;;;;
12;200;70;;12;200;40;;;;12;200;95;;12;200;90;;;;;
12;200;80;;12;200;60;;;;12;200;90;;12;200;85;;;;;
12;200;70;;12;200;70;;;;12;200;100;;12;200;85;;;;;
12;400;90;;12;400;85;;;;12;400;100;;12;400;85;;;;;
12;400;95;;12;400;90;;;;12;400;100;;12;400;90;;;;;
12;400;100;;12;400;85;;;;12;400;100;;12;400;90;;;;;
15;0;0;;15;0;0;;;;15;0;0;;15;0;0;;;;;
15;0;0;;15;0;0;;;;15;0;0;;15;0;0;;;;;
15;0;0;;15;0;0;;;;15;0;0;;15;0;0;;;;;
15;50;80;;15;50;50;;;;15;50;85;;15;50;85;;;;;
15;50;65;;15;50;55;;;;15;50;85;;15;50;85;;;;;
15;50;85;;15;50;50;;;;15;50;80;;15;50;75;;;;;
15;100;80;;15;100;75;;;;15;100;95;;15;100;80;;;;;
15;100;85;;15;100;80;;;;15;100;85;;15;100;85;;;;;
15;100;90;;15;100;75;;;;15;100;95;;15;100;75;;;;;
15;200;80;;15;200;80;;;;15;200;95;;15;200;90;;;;;
15;200;85;;15;200;80;;;;15;200;90;;15;200;85;;;;;
15;200;90;;15;200;85;;;;15;200;100;;15;200;90;;;;;
15;400;100;;15;400;95;;;;15;400;100;;15;400;90;;;;;
15;400;100;;15;400;90;;;;15;400;100;;15;400;90;;;;;
15;400;100;;15;400;90;;;;15;400;100;;15;400;90;;;;;
18;0;0;;18;0;0;;;;18;0;0;;18;0;0;;;;;
18;0;0;;18;0;0;;;;18;0;0;;18;0;0;;;;;
18;0;0;;18;0;0;;;;18;0;0;;18;0;0;;;;;
18;50;80;;18;50;65;;;;18;50;85;;18;50;85;;;;;
18;50;80;;18;50;85;;;;18;50;85;;18;50;90;;;;;
18;50;85;;18;50;70;;;;18;50;85;;18;50;75;;;;;
18;100;80;;18;100;75;;;;18;100;95;;18;100;85;;;;;
18;100;90;;18;100;80;;;;18;100;85;;18;100;85;;;;;
18;100;90;;18;100;80;;;;18;100;95;;18;100;75;;;;;
18;200;90;;18;200;80;;;;18;200;95;;18;200;90;;;;;
18;200;85;;18;200;85;;;;18;200;90;;18;200;85;;;;;
18;200;95;;18;200;85;;;;18;200;100;;18;200;90;;;;;
18;400;100;;18;400;95;;;;18;400;100;;18;400;90;;;;;
18;400;100;;18;400;90;;;;18;400;100;;18;400;90;;;;;
18;400;100;;18;400;90;;;;18;400;100;;18;400;90;;;;;
21;0;0;;21;0;0;;;;21;0;0;;21;0;0;;;;;
21;0;0;;21;0;0;;;;21;0;0;;21;0;0;;;;;
21;0;0;;21;0;0;;;;21;0;0;;21;0;0;;;;;
21;50;85;;21;50;70;;;;21;50;85;;21;50;85;;;;;
21;50;80;;21;50;85;;;;21;50;85;;21;50;90;;;;;
21;50;85;;21;50;75;;;;21;50;90;;21;50;75;;;;;
21;100;80;;21;100;75;;;;21;100;95;;21;100;85;;;;;
21;100;90;;21;100;80;;;;21;100;85;;21;100;85;;;;;
21;100;90;;21;100;90;;;;21;100;95;;21;100;75;;;;;
21;200;90;;21;200;80;;;;21;200;95;;21;200;90;;;;;
21;200;85;;21;200;85;;;;21;200;90;;21;200;85;;;;;
21;200;95;;21;200;85;;;;21;200;100;;21;200;90;;;;;
21;400;100;;21;400;95;;;;21;400;100;;21;400;90;;;;;
21;400;100;;21;400;90;;;;21;400;100;;21;400;95;;;;;
21;400;100;;21;400;90;;;;21;400;100;;21;400;90;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
